"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20240901","9호선","개화","1278","1126","20240904",""
"20240901","9호선","김포공항","5293","9545","20240904",""
"20240901","9호선","공항시장","1994","2163","20240904",""
"20240901","9호선","신방화","4069","4000","20240904",""
"20240901","9호선","마곡나루(서울식물원)","6724","6729","20240904",""
"20240901","9호선","양천향교","4503","4807","20240904",""
"20240901","9호선","가양","12893","12325","20240904",""
"20240901","9호선","증미","2947","2898","20240904",""
"20240901","9호선","등촌","5888","5990","20240904",""
"20240901","9호선","염창","9637","9324","20240904",""
"20240901","9호선","신목동","2235","2074","20240904",""
"20240901","9호선","선유도","3214","3245","20240904",""
"20240901","9호선","당산","10132","9992","20240904",""
"20240901","9호선","국회의사당","7231","6783","20240904",""
"20240901","9호선","여의도","11811","10813","20240904",""
"20240901","9호선","샛강","2327","2151","20240904",""
"20240901","9호선","노량진","15584","16662","20240904",""
"20240901","9호선","노들","3421","2824","20240904",""
"20240901","9호선","흑석(중앙대입구)","4493","4740","20240904",""
"20240901","9호선","동작(현충원)","1282","1082","20240904",""
"20240901","9호선","구반포","391","386","20240904",""
"20240901","9호선","신반포","2840","2992","20240904",""
"20240901","9호선","고속터미널","14465","20035","20240904",""
"20240901","9호선","사평","1951","2016","20240904",""
"20240901","9호선","신논현","17595","17407","20240904",""
"20240901","9호선2~3단계","언주","4807","4859","20240904",""
"20240901","9호선2~3단계","선정릉","3762","4274","20240904",""
"20240901","9호선2~3단계","삼성중앙","2341","2333","20240904",""
"20240901","9호선2~3단계","봉은사","11679","12025","20240904",""
"20240901","9호선2~3단계","종합운동장","4981","4184","20240904",""
"20240901","9호선2~3단계","삼전","4186","4190","20240904",""
"20240901","9호선2~3단계","석촌고분","3898","4016","20240904",""
"20240901","9호선2~3단계","석촌","5803","5244","20240904",""
"20240901","9호선2~3단계","송파나루","3709","4056","20240904",""
"20240901","9호선2~3단계","한성백제","2013","1823","20240904",""
"20240901","9호선2~3단계","올림픽공원(한국체대)","13216","13100","20240904",""
"20240901","9호선2~3단계","둔촌오륜","876","877","20240904",""
"20240901","9호선2~3단계","중앙보훈병원","4803","4533","20240904",""
"20240901","경강선","판교","3249","2835","20240904",""
"20240901","경강선","이매","767","554","20240904",""
"20240901","경강선","삼동","1180","1161","20240904",""
"20240901","경강선","경기광주","4435","4424","20240904",""
"20240901","경강선","초월","1998","1927","20240904",""
"20240901","경강선","곤지암","1805","1912","20240904",""
"20240901","경강선","신둔도예촌","1038","1089","20240904",""
"20240901","경강선","이천","2612","2885","20240904",""
"20240901","경강선","부발","1765","2054","20240904",""
"20240901","경강선","세종대왕릉","340","334","20240904",""
"20240901","경강선","여주","2878","2827","20240904",""
"20240901","경강선","성남","654","568","20240904",""
"20240901","경부선","서울역","11443","3145","20240904",""
"20240901","경부선","남영","5241","5586","20240904",""
"20240901","경부선","용산","45109","41287","20240904",""
"20240901","경부선","노량진","6167","5788","20240904",""
"20240901","경부선","대방","5356","6126","20240904",""
"20240901","경부선","영등포","35856","34987","20240904",""
"20240901","경부선","신도림","2574","2972","20240904",""
"20240901","경부선","신길","5010","4484","20240904",""
"20240901","경부선","구로","11435","12089","20240904",""
"20240901","경부선","가산디지털단지","5204","6325","20240904",""
"20240901","경부선","금천구청","5924","5925","20240904",""
"20240901","경부선","석수","4832","4664","20240904",""
"20240901","경부선","관악","4980","4738","20240904",""
"20240901","경부선","안양","13858","13388","20240904",""
"20240901","경부선","명학","3601","3534","20240904",""
"20240901","경부선","금정","15998","16310","20240904",""
"20240901","경부선","군포","3047","2976","20240904",""
"20240901","경부선","의왕","4290","4336","20240904",""
"20240901","경부선","성균관대","9129","9832","20240904",""
"20240901","경부선","화서","8994","8921","20240904",""
"20240901","경부선","수원","38313","36601","20240904",""
"20240901","경부선","독산","6719","6644","20240904",""
"20240901","경부선","세류","2338","2240","20240904",""
"20240901","경부선","병점","10311","11104","20240904",""
"20240901","경부선","세마","2114","1921","20240904",""
"20240901","경부선","오산대","2358","2289","20240904",""
"20240901","경부선","오산","8611","9159","20240904",""
"20240901","경부선","진위","1074","1094","20240904",""
"20240901","경부선","송탄","4122","4435","20240904",""
"20240901","경부선","서정리","5445","7111","20240904",""
"20240901","경부선","평택지제","3390","3138","20240904",""
"20240901","경부선","평택","13019","13361","20240904",""
"20240901","경부선","성환","3317","3885","20240904",""
"20240901","경부선","직산","745","822","20240904",""
"20240901","경부선","두정","5959","7514","20240904",""
"20240901","경부선","천안","7674","7428","20240904",""
"20240901","경부선","당정","3220","3179","20240904",""
"20240901","경부선","서동탄","891","912","20240904",""
"20240901","경부선","광명","3322","2363","20240904",""
"20240901","경원선","이촌(국립중앙박물관)","2960","2262","20240904",""
"20240901","경원선","서빙고","2274","2352","20240904",""
"20240901","경원선","한남","1675","1662","20240904",""
"20240901","경원선","옥수","54","23","20240904",""
"20240901","경원선","응봉","1078","956","20240904",""
"20240901","경원선","왕십리(성동구청)","12886","13452","20240904",""
"20240901","경원선","청량리(서울시립대입구)","16725","15887","20240904",""
"20240901","경원선","외대앞","5843","6140","20240904",""
"20240901","경원선","신이문","5081","4945","20240904",""
"20240901","경원선","석계","4848","5291","20240904",""
"20240901","경원선","광운대","4847","5051","20240904",""
"20240901","경원선","월계","3844","3643","20240904",""
"20240901","경원선","녹천","2521","2281","20240904",""
"20240901","경원선","창동","3","0","20240904",""
"20240901","경원선","방학","6540","6238","20240904",""
"20240901","경원선","도봉","3606","3430","20240904",""
"20240901","경원선","도봉산","7889","5531","20240904",""
"20240901","경원선","망월사","4872","5158","20240904",""
"20240901","경원선","회룡","8177","8104","20240904",""
"20240901","경원선","의정부","14715","14878","20240904",""
"20240901","경원선","가능","4178","3930","20240904",""
"20240901","경원선","녹양","2770","2573","20240904",""
"20240901","경원선","양주","5420","5320","20240904",""
"20240901","경원선","덕계","3780","3420","20240904",""
"20240901","경원선","덕정","3782","3733","20240904",""
"20240901","경원선","지행","4865","5017","20240904",""
"20240901","경원선","동두천중앙","2166","1951","20240904",""
"20240901","경원선","보산","1406","1311","20240904",""
"20240901","경원선","동두천","1270","1355","20240904",""
"20240901","경원선","소요산","3080","3043","20240904",""
"20240901","경원선","청산","132","117","20240904",""
"20240901","경원선","전곡","1242","1097","20240904",""
"20240901","경원선","연천","1354","1296","20240904",""
"20240901","경의선","서울역","1292","1098","20240904",""
"20240901","경의선","신촌","307","348","20240904",""
"20240901","경의선","효창공원앞","1550","1865","20240904",""
"20240901","경의선","공덕","2636","1850","20240904",""
