"사용일자","호선명","역명","승차총승객수","하차총승객수","등록일자"
"20241210","경부선","병점","17456","17368","20241213"
"20241210","7호선","보라매","7354","7846","20241213"
"20241210","신림선","보라매","5106","4609","20241213"
"20241210","신림선","보라매공원","2513","2818","20241213"
"20241210","신림선","보라매병원","9440","9908","20241213"
"20241210","6호선","보문","9111","8598","20241213"
"20241210","우이신설선","보문","1822","1816","20241213"
"20241210","경원선","보산","1406","1341","20241213"
"20241210","분당선","보정","2713","2444","20241213"
"20241210","8호선","복정","11687","9816","20241213"
"20241210","분당선","복정","2","0","20241213"
"20241210","장항선","봉명","1314","1266","20241213"
"20241210","9호선2~3단계","봉은사","21885","22744","20241213"
"20241210","2호선","봉천","26811","25310","20241213"
"20241210","6호선","봉화산(서울의료원)","10188","9596","20241213"
"20241210","경인선","부개","9251","8756","20241213"
"20241210","경강선","부발","2306","2256","20241213"
"20241210","경인선","부천","32544","31997","20241213"
"20241210","서해선","부천종합운동장","3255","2792","20241213"
"20241210","경인선","부평","28384","29562","20241213"
"20241210","우이신설선","북한산보국문","7001","6659","20241213"
"20241210","우이신설선","북한산우이","2836","2611","20241213"
"20241210","6호선","불광","5107","5004","20241213"
"20241210","3호선","불광","18170","19390","20241213"
"20241210","7호선","사가정","17934","18718","20241213"
"20241210","4호선","사당","29523","26916","20241213"
"20241210","2호선","사당","47218","50542","20241213"
"20241210","경춘선","사릉","2070","2036","20241213"
"20241210","수인선","사리","4745","3976","20241213"
"20241210","9호선","사평","4619","4420","20241213"
"20241210","안산선","산본","17545","18261","20241213"
"20241210","8호선","산성","6791","6841","20241213"
"20241210","6호선","삼각지","9378","8450","20241213"
"20241210","4호선","삼각지","6867","7686","20241213"
"20241210","경강선","삼동","2577","2292","20241213"
"20241210","2호선","삼성(무역센터)","60539","61995","20241213"
"20241210","9호선2~3단계","삼성중앙","9436","9908","20241213"
"20241210","일산선","삼송","21177","20077","20241213"
"20241210","우이신설선","삼양","2478","2589","20241213"
"20241210","우이신설선","삼양사거리","2780","2798","20241213"
"20241210","9호선2~3단계","삼전","9059","8625","20241213"
"20241210","분당선","상갈","5542","5222","20241213"
"20241210","4호선","상계","21708","20394","20241213"
"20241210","7호선","상도","14354","14390","20241213"
"20241210","안산선","상록수","16911","17362","20241213"
"20241210","중앙선","상봉","6038","6188","20241213"
"20241210","7호선","상봉","20091","19551","20241213"
"20241210","6호선","상수","10483","11459","20241213"
"20241210","2호선","상왕십리","16514","16135","20241213"
"20241210","6호선","상월곡(한국과학기술연구원)","7170","6481","20241213"
"20241210","5호선","상일동","17052","16224","20241213"
"20241210","경춘선","상천","185","178","20241213"
"20241210","6호선","새절(신사)","14574","13575","20241213"
"20241210","9호선","샛강","7834","7960","20241213"
"20241210","신림선","샛강","3684","4226","20241213"
"20241210","경의선","서강대","2176","2156","20241213"
"20241210","5호선","서대문","25577","25791","20241213"
"20241210","경부선","서동탄","1580","1375","20241213"
"20241210","경원선","서빙고","2120","2111","20241213"
"20241210","신림선","서울대벤처타운","10486","9881","20241213"
"20241210","2호선","서울대입구(관악구청)","50466","48725","20241213"
"20241210","분당선","서울숲","12128","12165","20241213"
"20241210","4호선","서울역","14902","22532","20241213"
"20241210","경부선","서울역","7759","2910","20241213"
"20241210","공항철도 1호선","서울역","11922","10513","20241213"
"20241210","경의선","서울역","4181","5691","20241213"
"20241210","1호선","서울역","54322","50319","20241213"
"20241210","신림선","서울지방병무청","3377","3773","20241213"
"20241210","신림선","서원","3981","3403","20241213"
"20241210","경부선","서정리","8436","8116","20241213"
"20241210","2호선","서초","25294","25276","20241213"
"20241210","분당선","서현","24952","25246","20241213"
"20241210","6호선","석계","14464","14732","20241213"
"20241210","경원선","석계","7601","8639","20241213"
"20241210","경부선","석수","9083","8260","20241213"
"20241210","8호선","석촌","9742","10884","20241213"
"20241210","9호선2~3단계","석촌","10436","9515","20241213"
"20241210","9호선2~3단계","석촌고분","8159","8067","20241213"
"20241210","2호선","선릉","68834","61378","20241213"
"20241210","분당선","선릉","14266","21718","20241213"
"20241210","과천선","선바위","8449","7568","20241213"
"20241210","9호선","선유도","10381","9765","20241213"
"20241210","9호선2~3단계","선정릉","12682","13646","20241213"
"20241210","분당선","선정릉","8196","8760","20241213"
"20241210","경부선","성균관대","17059","16493","20241213"
"20241210","경강선","성남","1100","934","20241213"
"20241210","2호선","성수","48476","52227","20241213"
"20241210","우이신설선","성신여대입구(돈암)","3976","4188","20241213"
"20241210","4호선","성신여대입구(돈암)","24766","23637","20241213"
"20241210","경부선","성환","6875","6599","20241213"
"20241210","경부선","세류","3653","3374","20241213"
"20241210","경부선","세마","3265","3116","20241213"
"20241210","경강선","세종대왕릉","317","307","20241213"
"20241210","수인선","소래포구","4653","4290","20241213"
"20241210","경인선","소사","7982","7905","20241213"
"20241210","경원선","소요산","1256","1247","20241213"
"20241210","우이신설선","솔밭공원","2791","2743","20241213"
"20241210","우이신설선","솔샘","6601","6328","20241213"
"20241210","경인선","송내","28218","27865","20241213"
